Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0017_0001.JPG,-38.75468201,143.67058115,102.663,0.008,0.008,0.023
1,100_0017_0002.JPG,-38.75476781,143.67095236,102.191,0.009,0.009,0.023
1,100_0017_0003.JPG,-38.75484297,143.67127759,102.012,0.011,0.010,0.028
1,100_0017_0004.JPG,-38.75490064,143.67151139,101.818,0.009,0.008,0.022
1,100_0017_0005.JPG,-38.75515717,143.67167956,101.808,0.008,0.008,0.023
1,100_0017_0006.JPG,-38.75537235,143.67175733,102.706,0.009,0.009,0.023
1,100_0017_0007.JPG,-38.75526955,143.67141508,101.985,0.008,0.009,0.022
1,100_0017_0008.JPG,-38.75520354,143.67107804,102.772,0.008,0.009,0.025
1,100_0017_0009.JPG,-38.75512775,143.67075415,102.707,0.011,0.010,0.028
1,100_0017_0010.JPG,-38.75505222,143.67042155,102.617,0.008,0.008,0.022
1,100_0017_0011.JPG,-38.75498472,143.67008531,103.469,0.009,0.008,0.024
1,100_0017_0012.JPG,-38.75498268,143.67003603,103.859,0.008,0.008,0.021
1,100_0017_0013.JPG,-38.75526585,143.67013466,102.711,0.009,0.008,0.021
1,100_0017_0014.JPG,-38.75543686,143.67017870,103.104,0.009,0.009,0.023
1,100_0017_0015.JPG,-38.75551543,143.67054469,102.635,0.009,0.009,0.025
1,100_0017_0016.JPG,-38.75558894,143.67087463,102.083,0.008,0.007,0.021
1,100_0017_0017.JPG,-38.75566440,143.67120338,101.599,0.009,0.009,0.023
1,100_0017_0018.JPG,-38.75574134,143.67153306,101.752,0.010,0.009,0.027
1,100_0017_0019.JPG,-38.75581867,143.67186197,101.853,0.009,0.009,0.022
1,100_0017_0020.JPG,-38.75586166,143.67203223,101.876,0.010,0.008,0.025
1,100_0017_0021.JPG,-38.75610833,143.67218068,102.027,0.010,0.008,0.024
1,100_0017_0022.JPG,-38.75629213,143.67244797,102.273,0.010,0.009,0.027
1,100_0017_0023.JPG,-38.75640571,143.67259160,101.757,0.008,0.006,0.023
1,100_0017_0024.JPG,-38.75629949,143.67224815,101.916,0.011,0.011,0.029
1,100_0017_0025.JPG,-38.75622805,143.67191591,102.827,0.009,0.008,0.022
1,100_0017_0026.JPG,-38.75615910,143.67158187,103.336,0.010,0.009,0.024
1,100_0017_0027.JPG,-38.75608551,143.67125318,103.552,0.010,0.009,0.027
1,100_0017_0028.JPG,-38.75601660,143.67091484,103.904,0.006,0.006,0.017
1,100_0017_0029.JPG,-38.75594518,143.67058034,103.661,0.006,0.006,0.017
1,100_0017_0030.JPG,-38.75589307,143.67030840,103.863,0.006,0.006,0.016
1,100_0017_0031.JPG,-38.75617190,143.67043259,102.236,0.006,0.005,0.016
1,100_0017_0032.JPG,-38.75635209,143.67048743,102.816,0.006,0.006,0.017
1,100_0017_0033.JPG,-38.75643364,143.67085311,102.223,0.006,0.006,0.017
